	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	IBD	s2s	27	36	101	3	0.0	0.5985974129539937
1	IBD	s2s	27	38	101	3	0.0	0.8188439849624058
2	IBD	s2s	27	48_1	101	3	0.0	0.5128571428571428
3	IBD	s2s	27	59	101	3	0.0	0.5855220139494334
4	IBD	self	27	27	101	3	0.0	0.8873873873873874
5	IBD	lodo	others	27	101	3	0.0	0.3565010956902849
6	IBD	s2s	27	36	101	3	0.1	0.622914003588559
7	IBD	s2s	27	38	101	3	0.1	0.8780545112781954
8	IBD	s2s	27	48_1	101	3	0.1	0.5175
9	IBD	s2s	27	59	101	3	0.1	0.6374645815170009
10	IBD	self	27	27	101	3	0.1	0.8927927927927928
11	IBD	lodo	others	27	101	3	0.1	0.44810080350620896
12	IBD	s2s	27	36	101	3	0.2	0.6265699944881612
13	IBD	s2s	27	38	101	3	0.2	0.917528195488722
14	IBD	s2s	27	48_1	101	3	0.2	0.4646428571428571
15	IBD	s2s	27	59	101	3	0.2	0.6378868788142982
16	IBD	self	27	27	101	3	0.2	0.9117117117117118
17	IBD	lodo	others	27	101	3	0.2	0.4237764791818847
18	IBD	s2s	27	36	101	3	0.3	0.5932497566581839
19	IBD	s2s	27	38	101	3	0.3	0.931390977443609
20	IBD	s2s	27	48_1	101	3	0.3	0.44107142857142856
21	IBD	s2s	27	59	101	3	0.3	0.6031767654751526
22	IBD	self	27	27	101	3	0.3	0.8819819819819821
23	IBD	lodo	others	27	101	3	0.3	0.4863403944485025
24	IBD	s2s	27	36	101	3	0.4	0.6460402716046487
25	IBD	s2s	27	38	101	3	0.4	0.8818139097744361
26	IBD	s2s	27	48_1	101	3	0.4	0.4610714285714286
27	IBD	s2s	27	59	101	3	0.4	0.5628133173496078
28	IBD	self	27	27	101	3	0.4	0.8585585585585586
29	IBD	lodo	others	27	101	3	0.4	0.6373265157048943
30	IBD	s2s	27	36	101	3	0.5	0.6423696215594986
31	IBD	s2s	27	38	101	3	0.5	0.888157894736842
32	IBD	s2s	27	48_1	101	3	0.5	0.5439285714285714
33	IBD	s2s	27	59	101	3	0.5	0.6278607236268527
34	IBD	self	27	27	101	3	0.5	0.9135135135135136
35	IBD	lodo	others	27	101	3	0.5	0.6951059167275383
