	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	IGT	self	37_1	37_1	301	3	0.0	0.5
1	IGT	self	40_1	40_1	301	3	0.0	0.4794117647058823
2	IGT	s2s	37_1	40_1	301	3	0.0	0.5
3	IGT	s2s	40_1	37_1	301	3	0.0	0.4089958158995816
4	IGT	self	37_1	37_1	301	3	0.1	0.6929976851851851
5	IGT	self	40_1	40_1	301	3	0.1	0.4705882352941177
6	IGT	s2s	37_1	40_1	301	3	0.1	0.3718557190317987
7	IGT	s2s	40_1	37_1	301	3	0.1	0.4250500272876114
8	IGT	self	37_1	37_1	301	3	0.2	0.7433449074074074
9	IGT	self	40_1	40_1	301	3	0.2	0.5323529411764706
10	IGT	s2s	37_1	40_1	301	3	0.2	0.4041290934978641
11	IGT	s2s	40_1	37_1	301	3	0.2	0.5219665271966527
12	IGT	self	37_1	37_1	301	3	0.3	0.7899305555555555
13	IGT	self	40_1	40_1	301	3	0.3	0.5264705882352941
14	IGT	s2s	37_1	40_1	301	3	0.3	0.40507831039392506
15	IGT	s2s	40_1	37_1	301	3	0.3	0.4703929416045116
16	IGT	self	37_1	37_1	301	3	0.4	0.8981481481481481
17	IGT	self	40_1	40_1	301	3	0.4	0.4661764705882353
18	IGT	s2s	37_1	40_1	301	3	0.4	0.4639297579496915
19	IGT	s2s	40_1	37_1	301	3	0.4	0.4619337820629434
20	IGT	self	37_1	37_1	301	3	0.5	0.880787037037037
21	IGT	self	40_1	40_1	301	3	0.5	0.4382352941176471
22	IGT	s2s	37_1	40_1	301	3	0.5	0.4383009017560512
23	IGT	s2s	40_1	37_1	301	3	0.5	0.5491631799163181
24	IGT	self	37_1	37_1	301	3	0.6	0.8287037037037036
25	IGT	self	40_1	40_1	301	3	0.6	0.5044117647058823
26	IGT	s2s	37_1	40_1	301	3	0.6	0.4715234931181775
27	IGT	s2s	40_1	37_1	301	3	0.6	0.43587411315262864
28	IGT	self	37_1	37_1	301	3	0.7	0.8596643518518519
29	IGT	self	40_1	40_1	301	3	0.7	0.5955882352941176
30	IGT	s2s	37_1	40_1	301	3	0.7	0.3858566682486948
31	IGT	s2s	40_1	37_1	301	3	0.7	0.4081771875568492
32	IGT	self	37_1	37_1	301	3	0.8	0.8220486111111112
33	IGT	self	40_1	40_1	301	3	0.8	0.4955882352941177
34	IGT	s2s	37_1	40_1	301	3	0.8	0.4850498338870432
35	IGT	s2s	40_1	37_1	301	3	0.8	0.4604784427869748
36	IGT	self	37_1	37_1	301	3	0.9	0.8946759259259259
37	IGT	self	40_1	40_1	301	3	0.9	0.5088235294117647
38	IGT	s2s	37_1	40_1	301	3	0.9	0.4563360227812055
39	IGT	s2s	40_1	37_1	301	3	0.9	0.4536565399308714
40	IGT	self	37_1	37_1	301	3	1.0	0.9204282407407408
41	IGT	self	40_1	40_1	301	3	1.0	0.5058823529411764
42	IGT	s2s	37_1	40_1	301	3	1.0	0.4138585666824869
43	IGT	s2s	40_1	37_1	301	3	1.0	0.5176005093687466
44	IGT	self	37_1	37_1	301	5	0.0	0.7853009259259259
45	IGT	self	40_1	40_1	301	5	0.0	0.5308823529411765
46	IGT	s2s	37_1	40_1	301	5	0.0	0.39368770764119604
47	IGT	s2s	40_1	37_1	301	5	0.0	0.4013098053483718
48	IGT	self	37_1	37_1	301	5	0.1	0.8463541666666667
49	IGT	self	40_1	40_1	301	5	0.1	0.5205882352941177
50	IGT	s2s	37_1	40_1	301	5	0.1	0.4568106312292359
51	IGT	s2s	40_1	37_1	301	5	0.1	0.4310533018009824
52	IGT	self	37_1	37_1	301	5	0.2	0.8035300925925926
53	IGT	self	40_1	40_1	301	5	0.2	0.5058823529411764
54	IGT	s2s	37_1	40_1	301	5	0.2	0.3545325106786901
55	IGT	s2s	40_1	37_1	301	5	0.2	0.4726214298708386
56	IGT	self	37_1	37_1	301	5	0.3	0.872974537037037
57	IGT	self	40_1	40_1	301	5	0.3	0.5294117647058822
58	IGT	s2s	37_1	40_1	301	5	0.3	0.4043663977218793
59	IGT	s2s	40_1	37_1	301	5	0.3	0.4347371293432781
60	IGT	self	37_1	37_1	301	5	0.4	0.8564814814814814
61	IGT	self	40_1	40_1	301	5	0.4	0.5455882352941176
62	IGT	s2s	37_1	40_1	301	5	0.4	0.3962980541053631
63	IGT	s2s	40_1	37_1	301	5	0.4	0.4301437147535019
64	IGT	self	37_1	37_1	301	5	0.5	0.8862847222222222
65	IGT	self	40_1	40_1	301	5	0.5	0.4750000000000001
66	IGT	s2s	37_1	40_1	301	5	0.5	0.3922638822971049
67	IGT	s2s	40_1	37_1	301	5	0.5	0.4831271602692378
68	IGT	self	37_1	37_1	301	5	0.6	0.9007523148148148
69	IGT	self	40_1	40_1	301	5	0.6	0.5279411764705882
70	IGT	s2s	37_1	40_1	301	5	0.6	0.3514475557664926
71	IGT	s2s	40_1	37_1	301	5	0.6	0.4657995270147353
72	IGT	self	37_1	37_1	301	5	0.7	0.9525462962962964
73	IGT	self	40_1	40_1	301	5	0.7	0.5661764705882353
74	IGT	s2s	37_1	40_1	301	5	0.7	0.4005695301376365
75	IGT	s2s	40_1	37_1	301	5	0.7	0.4155903219938148
76	IGT	self	37_1	37_1	301	5	0.8	0.9438657407407408
77	IGT	self	40_1	40_1	301	5	0.8	0.4911764705882353
78	IGT	s2s	37_1	40_1	301	5	0.8	0.4027052681537731
79	IGT	s2s	40_1	37_1	301	5	0.8	0.5578952155721303
80	IGT	self	37_1	37_1	301	5	0.9	0.9869791666666666
81	IGT	self	40_1	40_1	301	5	0.9	0.5838235294117647
82	IGT	s2s	37_1	40_1	301	5	0.9	0.33602278120550544
83	IGT	s2s	40_1	37_1	301	5	0.9	0.4829452428597417
84	IGT	self	37_1	37_1	301	5	1.0	0.9241898148148148
85	IGT	self	40_1	40_1	301	5	1.0	0.7029411764705882
86	IGT	s2s	37_1	40_1	301	5	1.0	0.38253440911248215
87	IGT	s2s	40_1	37_1	301	5	1.0	0.5270147353101692
88	IGT	self	37_1	37_1	301	7	0.0	0.8217592592592592
89	IGT	self	40_1	40_1	301	7	0.0	0.6014705882352941
90	IGT	s2s	37_1	40_1	301	7	0.0	0.3998576174655909
91	IGT	s2s	40_1	37_1	301	7	0.0	0.4045388393669274
92	IGT	self	37_1	37_1	301	7	0.1	0.8313078703703703
93	IGT	self	40_1	40_1	301	7	0.1	0.6088235294117648
94	IGT	s2s	37_1	40_1	301	7	0.1	0.3927384907451352
95	IGT	s2s	40_1	37_1	301	7	0.1	0.387393123521921
96	IGT	self	37_1	37_1	301	7	0.2	0.8706597222222222
97	IGT	self	40_1	40_1	301	7	0.2	0.6
98	IGT	s2s	37_1	40_1	301	7	0.2	0.4112482202183199
99	IGT	s2s	40_1	37_1	301	7	0.2	0.3856194287793342
100	IGT	self	37_1	37_1	301	7	0.3	0.922164351851852
101	IGT	self	40_1	40_1	301	7	0.3	0.5705882352941177
102	IGT	s2s	37_1	40_1	301	7	0.3	0.4072140484100617
103	IGT	s2s	40_1	37_1	301	7	0.3	0.442650536656358
104	IGT	self	37_1	37_1	301	7	0.4	0.9623842592592592
105	IGT	self	40_1	40_1	301	7	0.4	0.6
106	IGT	s2s	37_1	40_1	301	7	0.4	0.3602278120550546
107	IGT	s2s	40_1	37_1	301	7	0.4	0.4147262142987084
108	IGT	self	37_1	37_1	301	7	0.5	0.9010416666666666
109	IGT	self	40_1	40_1	301	7	0.5	0.5823529411764706
110	IGT	s2s	37_1	40_1	301	7	0.5	0.3877551020408163
111	IGT	s2s	40_1	37_1	301	7	0.5	0.446698199017646
112	IGT	self	37_1	37_1	301	7	0.6	0.9227430555555556
113	IGT	self	40_1	40_1	301	7	0.6	0.6455882352941176
114	IGT	s2s	37_1	40_1	301	7	0.6	0.427859515899383
115	IGT	s2s	40_1	37_1	301	7	0.6	0.44387847917045664
116	IGT	self	37_1	37_1	301	7	0.7	0.9279513888888892
117	IGT	self	40_1	40_1	301	7	0.7	0.6176470588235294
118	IGT	s2s	37_1	40_1	301	7	0.7	0.4589463692453726
119	IGT	s2s	40_1	37_1	301	7	0.7	0.5640349281426232
120	IGT	self	37_1	37_1	301	7	0.8	0.9464699074074074
121	IGT	self	40_1	40_1	301	7	0.8	0.6514705882352941
122	IGT	s2s	37_1	40_1	301	7	0.8	0.431656383483626
123	IGT	s2s	40_1	37_1	301	7	0.8	0.526650900491177
124	IGT	self	37_1	37_1	301	7	0.9	0.9496527777777776
125	IGT	self	40_1	40_1	301	7	0.9	0.6029411764705882
126	IGT	s2s	37_1	40_1	301	7	0.9	0.4271476032273374
127	IGT	s2s	40_1	37_1	301	7	0.9	0.3536474440603966
128	IGT	self	37_1	37_1	301	7	1.0	0.90625
129	IGT	self	40_1	40_1	301	7	1.0	0.5779411764705883
130	IGT	s2s	37_1	40_1	301	7	1.0	0.4314190792596108
