	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	STH	self	72	72	301	3	0.0	0.75
1	STH	self	73	73	301	3	0.0	0.7679738562091504
2	STH	s2s	72	73	301	3	0.0	0.7776326103997908
3	STH	s2s	73	72	301	3	0.0	0.6947368421052631
4	STH	self	72	72	301	3	0.1	0.75
5	STH	self	73	73	301	3	0.1	0.7920751633986929
6	STH	s2s	72	73	301	3	0.1	0.7892605173765352
7	STH	s2s	73	72	301	3	0.1	0.7684210526315789
8	STH	self	72	72	301	3	0.2	0.75
9	STH	self	73	73	301	3	0.2	0.7912581699346406
10	STH	s2s	72	73	301	3	0.2	0.7809642017245884
11	STH	s2s	73	72	301	3	0.2	0.763157894736842
12	STH	self	72	72	301	3	0.3	0.75
13	STH	self	73	73	301	3	0.3	0.7622549019607844
14	STH	s2s	72	73	301	3	0.3	0.7550300496472432
15	STH	s2s	73	72	301	3	0.3	0.6736842105263157
16	STH	self	72	72	301	3	0.4	0.75
17	STH	self	73	73	301	3	0.4	0.7622549019607843
18	STH	s2s	72	73	301	3	0.4	0.7612359550561799
19	STH	s2s	73	72	301	3	0.4	0.7947368421052631
20	STH	self	72	72	301	3	0.5	0.75
21	STH	self	73	73	301	3	0.5	0.7961601307189542
22	STH	s2s	72	73	301	3	0.5	0.7793963940423309
23	STH	s2s	73	72	301	3	0.5	0.6842105263157895
24	STH	self	72	72	301	3	0.6	0.75
25	STH	self	73	73	301	3	0.6	0.7892156862745098
26	STH	s2s	72	73	301	3	0.6	0.7631303893389079
27	STH	s2s	73	72	301	3	0.6	0.8736842105263158
28	STH	self	72	72	301	3	0.7	0.625
29	STH	self	73	73	301	3	0.7	0.8035130718954249
30	STH	s2s	72	73	301	3	0.7	0.7763914293180036
31	STH	s2s	73	72	301	3	0.7	0.7105263157894737
32	STH	self	72	72	301	3	0.8	0.65625
33	STH	self	73	73	301	3	0.8	0.7132352941176471
34	STH	s2s	72	73	301	3	0.8	0.7637183172197544
35	STH	s2s	73	72	301	3	0.8	0.6
36	STH	self	72	72	301	3	0.9	0.75
37	STH	self	73	73	301	3	0.9	0.8055555555555556
38	STH	s2s	72	73	301	3	0.9	0.6957799843219232
39	STH	s2s	73	72	301	3	0.9	0.8052631578947369
40	STH	self	72	72	301	3	1.0	0.625
41	STH	self	73	73	301	3	1.0	0.7933006535947713
42	STH	s2s	72	73	301	3	1.0	0.7248497517637835
43	STH	s2s	73	72	301	3	1.0	0.7578947368421052
44	STH	self	72	72	301	5	0.0	0.75
45	STH	self	73	73	301	5	0.0	0.8067810457516339
46	STH	s2s	72	73	301	5	0.0	0.7557486281682779
47	STH	s2s	73	72	301	5	0.0	0.7421052631578946
48	STH	self	72	72	301	5	0.1	0.75
49	STH	self	73	73	301	5	0.1	0.8075980392156863
50	STH	s2s	72	73	301	5	0.1	0.7469950352756729
51	STH	s2s	73	72	301	5	0.1	0.7263157894736842
52	STH	self	72	72	301	5	0.2	0.6875
53	STH	self	73	73	301	5	0.2	0.8088235294117647
54	STH	s2s	72	73	301	5	0.2	0.7563365560491246
55	STH	s2s	73	72	301	5	0.2	0.6526315789473683
56	STH	self	72	72	301	5	0.3	0.6875
57	STH	self	73	73	301	5	0.3	0.7790032679738562
58	STH	s2s	72	73	301	5	0.3	0.7409851058270186
59	STH	s2s	73	72	301	5	0.3	0.7263157894736841
60	STH	self	72	72	301	5	0.4	0.84375
61	STH	self	73	73	301	5	0.4	0.8276143790849673
62	STH	s2s	72	73	301	5	0.4	0.7475176378364253
63	STH	s2s	73	72	301	5	0.4	0.7421052631578948
64	STH	self	72	72	301	5	0.5	0.8125
65	STH	self	73	73	301	5	0.5	0.7781862745098039
66	STH	s2s	72	73	301	5	0.5	0.7143977005487328
67	STH	s2s	73	72	301	5	0.5	0.7999999999999999
68	STH	self	72	72	301	5	0.6	0.875
69	STH	self	73	73	301	5	0.6	0.8500816993464052
70	STH	s2s	72	73	301	5	0.6	0.7105435066631827
71	STH	s2s	73	72	301	5	0.6	0.7736842105263158
72	STH	self	72	72	301	5	0.7	0.78125
73	STH	self	73	73	301	5	0.7	0.8235294117647058
74	STH	s2s	72	73	301	5	0.7	0.7354324536190228
75	STH	s2s	73	72	301	5	0.7	0.7210526315789474
76	STH	self	72	72	301	5	0.8	0.8125
77	STH	self	73	73	301	5	0.8	0.8088235294117647
78	STH	s2s	72	73	301	5	0.8	0.7051868304154691
79	STH	s2s	73	72	301	5	0.8	0.7736842105263158
80	STH	self	72	72	301	5	0.9	0.75
81	STH	self	73	73	301	5	0.9	0.8104575163398693
82	STH	s2s	72	73	301	5	0.9	0.7032923961327411
83	STH	s2s	73	72	301	5	0.9	0.7526315789473684
84	STH	self	72	72	301	5	1.0	0.8125
85	STH	self	73	73	301	5	1.0	0.8688725490196078
86	STH	s2s	72	73	301	5	1.0	0.7355631042592109
87	STH	s2s	73	72	301	5	1.0	0.7526315789473683
88	STH	self	72	72	301	7	0.0	0.6875
89	STH	self	73	73	301	7	0.0	0.8361928104575164
90	STH	s2s	72	73	301	7	0.0	0.7381107917428796
91	STH	s2s	73	72	301	7	0.0	0.7157894736842105
92	STH	self	72	72	301	7	0.1	0.6875
93	STH	self	73	73	301	7	0.1	0.8431372549019608
94	STH	s2s	72	73	301	7	0.1	0.7298144760909329
95	STH	s2s	73	72	301	7	0.1	0.7157894736842104
96	STH	self	72	72	301	7	0.2	0.75
97	STH	self	73	73	301	7	0.2	0.8451797385620915
98	STH	s2s	72	73	301	7	0.2	0.7232166187614321
99	STH	s2s	73	72	301	7	0.2	0.6894736842105262
100	STH	self	72	72	301	7	0.3	0.75
101	STH	self	73	73	301	7	0.3	0.8341503267973857
102	STH	s2s	72	73	301	7	0.3	0.7539848445257382
103	STH	s2s	73	72	301	7	0.3	0.6631578947368421
104	STH	self	72	72	301	7	0.4	0.8125
105	STH	self	73	73	301	7	0.4	0.8239379084967321
