	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	acute_diarrhoea	self	15	15	301	3	0.0	0.9
1	acute_diarrhoea	self	43	43	301	3	0.0	1.0
2	acute_diarrhoea	s2s	15	43	301	3	0.0	0.9197530864197532
3	acute_diarrhoea	s2s	43	15	301	3	0.0	0.8187134502923976
4	acute_diarrhoea	self	15	15	301	3	0.1	0.8833333333333333
5	acute_diarrhoea	self	43	43	301	3	0.1	1.0
6	acute_diarrhoea	s2s	15	43	301	3	0.1	0.9197530864197532
7	acute_diarrhoea	s2s	43	15	301	3	0.1	0.8099415204678362
8	acute_diarrhoea	self	15	15	301	3	0.2	0.8500000000000001
9	acute_diarrhoea	self	43	43	301	3	0.2	1.0
10	acute_diarrhoea	s2s	15	43	301	3	0.2	0.9135802469135802
11	acute_diarrhoea	s2s	43	15	301	3	0.2	0.7499999999999999
12	acute_diarrhoea	self	15	15	301	3	0.3	0.85
13	acute_diarrhoea	self	43	43	301	3	0.3	1.0
14	acute_diarrhoea	s2s	15	43	301	3	0.3	0.9259259259259259
15	acute_diarrhoea	s2s	43	15	301	3	0.3	0.7850877192982457
16	acute_diarrhoea	self	15	15	301	3	0.4	0.8166666666666668
17	acute_diarrhoea	self	43	43	301	3	0.4	1.0
18	acute_diarrhoea	s2s	15	43	301	3	0.4	0.9043209876543208
19	acute_diarrhoea	s2s	43	15	301	3	0.4	0.783625730994152
20	acute_diarrhoea	self	15	15	301	3	0.5	0.8
21	acute_diarrhoea	self	43	43	301	3	0.5	1.0
22	acute_diarrhoea	s2s	15	43	301	3	0.5	0.8950617283950617
23	acute_diarrhoea	s2s	43	15	301	3	0.5	0.7251461988304093
24	acute_diarrhoea	self	15	15	301	3	0.6	0.8166666666666667
25	acute_diarrhoea	self	43	43	301	3	0.6	1.0
26	acute_diarrhoea	s2s	15	43	301	3	0.6	0.9135802469135804
27	acute_diarrhoea	s2s	43	15	301	3	0.6	0.7134502923976609
28	acute_diarrhoea	self	15	15	301	3	0.7	0.8
29	acute_diarrhoea	self	43	43	301	3	0.7	1.0
30	acute_diarrhoea	s2s	15	43	301	3	0.7	0.9290123456790124
31	acute_diarrhoea	s2s	43	15	301	3	0.7	0.6900584795321637
32	acute_diarrhoea	self	15	15	301	3	0.8	0.75
33	acute_diarrhoea	self	43	43	301	3	0.8	1.0
34	acute_diarrhoea	s2s	15	43	301	3	0.8	0.9259259259259259
35	acute_diarrhoea	s2s	43	15	301	3	0.8	0.6944444444444445
36	acute_diarrhoea	self	15	15	301	3	0.9	0.75
37	acute_diarrhoea	self	43	43	301	3	0.9	1.0
38	acute_diarrhoea	s2s	15	43	301	3	0.9	0.8487654320987654
39	acute_diarrhoea	s2s	43	15	301	3	0.9	0.6900584795321638
40	acute_diarrhoea	self	15	15	301	3	1.0	0.7166666666666667
41	acute_diarrhoea	self	43	43	301	3	1.0	1.0
42	acute_diarrhoea	s2s	15	43	301	3	1.0	0.8703703703703705
43	acute_diarrhoea	s2s	43	15	301	3	1.0	0.6038011695906433
44	acute_diarrhoea	self	15	15	301	5	0.0	0.85
45	acute_diarrhoea	self	43	43	301	5	0.0	1.0
46	acute_diarrhoea	s2s	15	43	301	5	0.0	0.9382716049382716
47	acute_diarrhoea	s2s	43	15	301	5	0.0	0.7880116959064328
48	acute_diarrhoea	self	15	15	301	5	0.1	0.8666666666666666
49	acute_diarrhoea	self	43	43	301	5	0.1	1.0
50	acute_diarrhoea	s2s	15	43	301	5	0.1	0.9259259259259259
51	acute_diarrhoea	s2s	43	15	301	5	0.1	0.7719298245614037
52	acute_diarrhoea	self	15	15	301	5	0.2	0.8666666666666667
53	acute_diarrhoea	self	43	43	301	5	0.2	1.0
54	acute_diarrhoea	s2s	15	43	301	5	0.2	0.9382716049382716
55	acute_diarrhoea	s2s	43	15	301	5	0.2	0.7660818713450293
56	acute_diarrhoea	self	15	15	301	5	0.3	0.8833333333333333
57	acute_diarrhoea	self	43	43	301	5	0.3	1.0
58	acute_diarrhoea	s2s	15	43	301	5	0.3	0.9135802469135804
59	acute_diarrhoea	s2s	43	15	301	5	0.3	0.7339181286549707
60	acute_diarrhoea	self	15	15	301	5	0.4	0.85
61	acute_diarrhoea	self	43	43	301	5	0.4	1.0
62	acute_diarrhoea	s2s	15	43	301	5	0.4	0.9320987654320988
63	acute_diarrhoea	s2s	43	15	301	5	0.4	0.7353801169590644
64	acute_diarrhoea	self	15	15	301	5	0.5	0.8666666666666667
65	acute_diarrhoea	self	43	43	301	5	0.5	1.0
66	acute_diarrhoea	s2s	15	43	301	5	0.5	0.8858024691358025
67	acute_diarrhoea	s2s	43	15	301	5	0.5	0.7134502923976608
68	acute_diarrhoea	self	15	15	301	5	0.6	0.8666666666666667
69	acute_diarrhoea	self	43	43	301	5	0.6	1.0
70	acute_diarrhoea	s2s	15	43	301	5	0.6	0.8734567901234568
71	acute_diarrhoea	s2s	43	15	301	5	0.6	0.7426900584795322
72	acute_diarrhoea	self	15	15	301	5	0.7	0.8500000000000001
73	acute_diarrhoea	self	43	43	301	5	0.7	1.0
74	acute_diarrhoea	s2s	15	43	301	5	0.7	0.9104938271604938
75	acute_diarrhoea	s2s	43	15	301	5	0.7	0.7090643274853801
76	acute_diarrhoea	self	15	15	301	5	0.8	0.8166666666666667
77	acute_diarrhoea	self	43	43	301	5	0.8	1.0
78	acute_diarrhoea	s2s	15	43	301	5	0.8	0.9012345679012346
79	acute_diarrhoea	s2s	43	15	301	5	0.8	0.7090643274853801
80	acute_diarrhoea	self	15	15	301	5	0.9	0.8166666666666667
81	acute_diarrhoea	self	43	43	301	5	0.9	1.0
82	acute_diarrhoea	s2s	15	43	301	5	0.9	0.8611111111111112
83	acute_diarrhoea	s2s	43	15	301	5	0.9	0.6798245614035088
84	acute_diarrhoea	self	15	15	301	5	1.0	0.8166666666666667
85	acute_diarrhoea	self	43	43	301	5	1.0	1.0
86	acute_diarrhoea	s2s	15	43	301	5	1.0	0.8395061728395062
87	acute_diarrhoea	s2s	43	15	301	5	1.0	0.6959064327485379
88	acute_diarrhoea	self	15	15	301	7	0.0	0.8416666666666667
89	acute_diarrhoea	self	43	43	301	7	0.0	1.0
90	acute_diarrhoea	s2s	15	43	301	7	0.0	0.9506172839506172
91	acute_diarrhoea	s2s	43	15	301	7	0.0	0.7500000000000001
92	acute_diarrhoea	self	15	15	301	7	0.1	0.8666666666666667
93	acute_diarrhoea	self	43	43	301	7	0.1	1.0
94	acute_diarrhoea	s2s	15	43	301	7	0.1	0.9475308641975309
95	acute_diarrhoea	s2s	43	15	301	7	0.1	0.7412280701754387
96	acute_diarrhoea	self	15	15	301	7	0.2	0.8666666666666667
97	acute_diarrhoea	self	43	43	301	7	0.2	1.0
98	acute_diarrhoea	s2s	15	43	301	7	0.2	0.9197530864197532
99	acute_diarrhoea	s2s	43	15	301	7	0.2	0.7266081871345028
100	acute_diarrhoea	self	15	15	301	7	0.3	0.8833333333333333
101	acute_diarrhoea	self	43	43	301	7	0.3	1.0
102	acute_diarrhoea	s2s	15	43	301	7	0.3	0.9104938271604938
