	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	cirrhosis	self	54_1	54_1	301	3	0.0	0.7589285714285714
1	cirrhosis	self	69	69	301	3	0.0	0.8917480035492458
2	cirrhosis	s2s	54_1	69	301	3	0.0	0.7950363714163458
3	cirrhosis	s2s	69	54_1	301	3	0.0	0.7530864197530863
4	cirrhosis	self	54_1	54_1	301	3	0.1	0.6875
5	cirrhosis	self	69	69	301	3	0.1	0.9019520851818988
6	cirrhosis	s2s	54_1	69	301	3	0.1	0.8091213806874912
7	cirrhosis	s2s	69	54_1	301	3	0.1	0.7299382716049382
8	cirrhosis	self	54_1	54_1	301	3	0.2	0.7410714285714286
9	cirrhosis	self	69	69	301	3	0.2	0.9019520851818988
10	cirrhosis	s2s	54_1	69	301	3	0.2	0.8022749964341751
11	cirrhosis	s2s	69	54_1	301	3	0.2	0.7469135802469136
12	cirrhosis	self	54_1	54_1	301	3	0.3	0.7946428571428571
13	cirrhosis	self	69	69	301	3	0.3	0.9063886424134872
14	cirrhosis	s2s	54_1	69	301	3	0.3	0.8277706461275139
15	cirrhosis	s2s	69	54_1	301	3	0.3	0.8086419753086419
16	cirrhosis	self	54_1	54_1	301	3	0.4	0.875
17	cirrhosis	self	69	69	301	3	0.4	0.8975155279503106
18	cirrhosis	s2s	54_1	69	301	3	0.4	0.8531949793182143
19	cirrhosis	s2s	69	54_1	301	3	0.4	0.6388888888888888
20	cirrhosis	self	54_1	54_1	301	3	0.5	0.6875
21	cirrhosis	self	69	69	301	3	0.5	0.9194764862466726
22	cirrhosis	s2s	54_1	69	301	3	0.5	0.8276993296248752
23	cirrhosis	s2s	69	54_1	301	3	0.5	0.7916666666666666
24	cirrhosis	self	54_1	54_1	301	3	0.6	0.8839285714285715
25	cirrhosis	self	69	69	301	3	0.6	0.9032830523513754
26	cirrhosis	s2s	54_1	69	301	3	0.6	0.8761945514191984
27	cirrhosis	s2s	69	54_1	301	3	0.6	0.7716049382716049
28	cirrhosis	self	54_1	54_1	301	3	0.7	0.8392857142857142
29	cirrhosis	self	69	69	301	3	0.7	0.9221384205856256
30	cirrhosis	s2s	54_1	69	301	3	0.7	0.8773712737127372
31	cirrhosis	s2s	69	54_1	301	3	0.7	0.8024691358024691
32	cirrhosis	self	54_1	54_1	301	3	0.8	0.7767857142857142
33	cirrhosis	self	69	69	301	3	0.8	0.9243566992014198
34	cirrhosis	s2s	54_1	69	301	3	0.8	0.8479888746255884
35	cirrhosis	s2s	69	54_1	301	3	0.8	0.7638888888888888
36	cirrhosis	self	54_1	54_1	301	3	0.9	0.8125
37	cirrhosis	self	69	69	301	3	0.9	0.9001774622892635
38	cirrhosis	s2s	54_1	69	301	3	0.9	0.8830052774211953
39	cirrhosis	s2s	69	54_1	301	3	0.9	0.8503086419753086
40	cirrhosis	self	54_1	54_1	301	3	1.0	0.7767857142857143
41	cirrhosis	self	69	69	301	3	1.0	0.908385093167702
42	cirrhosis	s2s	54_1	69	301	3	1.0	0.8773356154614178
43	cirrhosis	s2s	69	54_1	301	3	1.0	0.7762345679012346
44	cirrhosis	self	54_1	54_1	301	5	0.0	0.8035714285714285
45	cirrhosis	self	69	69	301	5	0.0	0.9099378881987576
46	cirrhosis	s2s	54_1	69	301	5	0.0	0.8253102267864786
47	cirrhosis	s2s	69	54_1	301	5	0.0	0.7638888888888888
48	cirrhosis	self	54_1	54_1	301	5	0.1	0.7589285714285714
49	cirrhosis	self	69	69	301	5	0.1	0.9185891748003548
50	cirrhosis	s2s	54_1	69	301	5	0.1	0.8221009841677365
51	cirrhosis	s2s	69	54_1	301	5	0.1	0.7685185185185185
52	cirrhosis	self	54_1	54_1	301	5	0.2	0.7589285714285714
53	cirrhosis	self	69	69	301	5	0.2	0.9254658385093169
54	cirrhosis	s2s	54_1	69	301	5	0.2	0.8507345599771787
55	cirrhosis	s2s	69	54_1	301	5	0.2	0.7808641975308642
56	cirrhosis	self	54_1	54_1	301	5	0.3	0.7232142857142857
57	cirrhosis	self	69	69	301	5	0.3	0.9072759538598048
58	cirrhosis	s2s	54_1	69	301	5	0.3	0.8988018827556697
59	cirrhosis	s2s	69	54_1	301	5	0.3	0.787037037037037
60	cirrhosis	self	54_1	54_1	301	5	0.4	0.8214285714285714
61	cirrhosis	self	69	69	301	5	0.4	0.927240461401952
62	cirrhosis	s2s	54_1	69	301	5	0.4	0.8887105976322921
63	cirrhosis	s2s	69	54_1	301	5	0.4	0.8070987654320988
64	cirrhosis	self	54_1	54_1	301	5	0.5	0.5714285714285714
65	cirrhosis	self	69	69	301	5	0.5	0.93944099378882
66	cirrhosis	s2s	54_1	69	301	5	0.5	0.8766224504350306
67	cirrhosis	s2s	69	54_1	301	5	0.5	0.7438271604938271
68	cirrhosis	self	54_1	54_1	301	5	0.6	0.7589285714285714
69	cirrhosis	self	69	69	301	5	0.6	0.9205856255545696
70	cirrhosis	s2s	54_1	69	301	5	0.6	0.8885323063756952
71	cirrhosis	s2s	69	54_1	301	5	0.6	0.7808641975308641
72	cirrhosis	self	54_1	54_1	301	5	0.7	0.6428571428571428
73	cirrhosis	self	69	69	301	5	0.7	0.9015084294587401
74	cirrhosis	s2s	54_1	69	301	5	0.7	0.8871416345742404
75	cirrhosis	s2s	69	54_1	301	5	0.7	0.7854938271604938
76	cirrhosis	self	54_1	54_1	301	5	0.8	0.6428571428571428
77	cirrhosis	self	69	69	301	5	0.8	0.936335403726708
78	cirrhosis	s2s	54_1	69	301	5	0.8	0.907966053344744
79	cirrhosis	s2s	69	54_1	301	5	0.8	0.8070987654320987
80	cirrhosis	self	54_1	54_1	301	5	0.9	0.6607142857142857
81	cirrhosis	self	69	69	301	5	0.9	0.9452085181898846
82	cirrhosis	s2s	54_1	69	301	5	0.9	0.8725930680359435
83	cirrhosis	s2s	69	54_1	301	5	0.9	0.7993827160493826
84	cirrhosis	self	54_1	54_1	301	5	1.0	0.6785714285714285
85	cirrhosis	self	69	69	301	5	1.0	0.9199201419698312
86	cirrhosis	s2s	54_1	69	301	5	1.0	0.8673156468406791
