	Disease	Type	Train	Test	NTree	NSample	Min_paired	AUC
0	schizofrenia	self	9	9	301	3	0.0	1.0
1	schizofrenia	self	100	100	301	3	0.0	0.6140572390572391
2	schizofrenia	s2s	9	100	301	3	0.0	0.6096021947873801
3	schizofrenia	s2s	100	9	301	3	0.0	0.626953125
4	schizofrenia	self	9	9	301	3	0.1	1.0
5	schizofrenia	self	100	100	301	3	0.1	0.6283670033670034
6	schizofrenia	s2s	9	100	301	3	0.1	0.5688614540466393
7	schizofrenia	s2s	100	9	301	3	0.1	0.626953125
8	schizofrenia	self	9	9	301	3	0.2	0.9642857142857144
9	schizofrenia	self	100	100	301	3	0.2	0.6489898989898989
10	schizofrenia	s2s	9	100	301	3	0.2	0.5692043895747599
11	schizofrenia	s2s	100	9	301	3	0.2	0.62890625
12	schizofrenia	self	9	9	301	3	0.3	1.0
13	schizofrenia	self	100	100	301	3	0.3	0.5858585858585859
14	schizofrenia	s2s	9	100	301	3	0.3	0.5237311385459533
15	schizofrenia	s2s	100	9	301	3	0.3	0.5859375
16	schizofrenia	self	9	9	301	3	0.4	0.8452380952380952
17	schizofrenia	self	100	100	301	3	0.4	0.6043771043771043
18	schizofrenia	s2s	9	100	301	3	0.4	0.5724965706447187
19	schizofrenia	s2s	100	9	301	3	0.4	0.638671875
20	schizofrenia	self	9	9	301	3	0.5	0.7261904761904762
21	schizofrenia	self	100	100	301	3	0.5	0.6393097643097643
22	schizofrenia	s2s	9	100	301	3	0.5	0.4846364883401921
23	schizofrenia	s2s	100	9	301	3	0.5	0.580078125
24	schizofrenia	self	9	9	301	3	0.6	0.4285714285714286
25	schizofrenia	self	100	100	301	3	0.6	0.6165824915824916
26	schizofrenia	s2s	9	100	301	3	0.6	0.5327160493827161
27	schizofrenia	s2s	100	9	301	3	0.6	0.6328125
28	schizofrenia	self	9	9	301	3	0.7	0.3690476190476191
29	schizofrenia	self	100	100	301	3	0.7	0.6788720538720538
30	schizofrenia	s2s	9	100	301	3	0.7	0.5002057613168724
31	schizofrenia	s2s	100	9	301	3	0.7	0.599609375
32	schizofrenia	self	9	9	301	3	0.8	0.19047619047619047
33	schizofrenia	self	100	100	301	3	0.8	0.7167508417508418
34	schizofrenia	s2s	9	100	301	3	0.8	0.5045267489711934
35	schizofrenia	s2s	100	9	301	3	0.8	0.6328125
36	schizofrenia	self	9	9	301	3	0.9	0.04761904761904763
37	schizofrenia	self	100	100	301	3	0.9	0.6750841750841751
38	schizofrenia	s2s	9	100	301	3	0.9	0.4606310013717421
39	schizofrenia	s2s	100	9	301	3	0.9	0.64453125
40	schizofrenia	self	9	9	301	3	1.0	0.2142857142857143
41	schizofrenia	self	100	100	301	3	1.0	0.6885521885521885
42	schizofrenia	s2s	9	100	301	3	1.0	0.4342249657064472
43	schizofrenia	s2s	100	9	301	3	1.0	0.513671875
44	schizofrenia	self	9	9	301	5	0.0	1.0
45	schizofrenia	self	100	100	301	5	0.0	0.6670875420875421
46	schizofrenia	s2s	9	100	301	5	0.0	0.6788065843621399
47	schizofrenia	s2s	100	9	301	5	0.0	0.49609375
48	schizofrenia	self	9	9	301	5	0.1	1.0
49	schizofrenia	self	100	100	301	5	0.1	0.6830808080808081
50	schizofrenia	s2s	9	100	301	5	0.1	0.6711248285322359
51	schizofrenia	s2s	100	9	301	5	0.1	0.52734375
52	schizofrenia	self	9	9	301	5	0.2	0.9523809523809524
53	schizofrenia	self	100	100	301	5	0.2	0.6700336700336701
54	schizofrenia	s2s	9	100	301	5	0.2	0.6431412894375856
55	schizofrenia	s2s	100	9	301	5	0.2	0.58203125
56	schizofrenia	self	9	9	301	5	0.3	0.9404761904761904
57	schizofrenia	self	100	100	301	5	0.3	0.7091750841750841
58	schizofrenia	s2s	9	100	301	5	0.3	0.5628943758573389
59	schizofrenia	s2s	100	9	301	5	0.3	0.568359375
