,Environment,Age,Sex,Noise,1,Group
s0,0.423,0.231,0.875,0.853,1.0,0
s1,0.686,0.547,0.506,0.58,1.0,0
s2,0.054,0.361,0.525,0.696,1.0,0
s3,0.826,0.0,0.61,0.948,1.0,0
s4,0.237,0.618,0.399,0.874,1.0,0
s5,0.888,0.494,0.469,0.305,1.0,0
s6,0.676,0.347,0.201,0.69,1.0,0
s7,0.477,0.42,0.955,0.47,1.0,0
s8,0.511,0.352,0.666,0.479,1.0,0
s9,0.701,0.609,0.505,0.582,1.0,0
s10,0.453,0.675,0.404,0.529,1.0,0
s11,0.531,0.404,0.614,0.791,1.0,0
s12,0.569,0.108,0.529,0.652,1.0,0
s13,0.529,0.505,0.384,0.524,1.0,0
s14,0.631,0.446,0.235,0.589,1.0,0
s15,0.712,0.77,0.397,0.567,1.0,0
s16,0.393,0.326,0.869,0.799,1.0,0
s17,0.147,0.374,0.746,0.459,1.0,0
s18,0.557,0.323,0.772,0.563,1.0,0
s19,0.405,0.626,0.325,0.329,1.0,0
s20,0.402,0.672,0.394,0.0,1.0,0
s21,0.462,0.864,0.253,0.631,1.0,0
s22,0.442,0.209,0.575,0.673,1.0,0
s23,0.608,0.757,0.366,0.352,1.0,0
s24,0.512,0.822,0.453,0.954,1.0,0
s25,0.677,0.727,0.152,0.209,1.0,0
s26,0.62,0.538,0.6,0.509,1.0,0
s27,0.774,0.725,0.661,0.463,1.0,0
s28,0.438,0.815,0.75,0.807,1.0,0
s29,0.219,0.475,0.356,0.794,1.0,0
s30,0.27,0.495,0.293,0.531,1.0,0
s31,0.669,0.415,0.449,0.576,1.0,0
s32,0.473,0.32,0.458,0.322,1.0,0
s33,0.963,0.525,0.172,0.104,1.0,0
s34,0.413,0.591,0.551,0.43,1.0,0
s35,0.443,0.742,0.676,0.531,1.0,0
s36,0.438,0.344,0.562,0.746,1.0,0
s37,0.477,0.481,0.091,0.74,1.0,0
s38,0.586,1.0,0.286,0.423,1.0,0
s39,0.401,0.256,0.253,0.44,1.0,0
s40,0.484,0.02,0.279,0.29,1.0,0
s41,0.267,0.288,0.566,0.216,1.0,0
s42,0.151,0.621,0.679,0.159,1.0,0
s43,0.549,0.478,0.402,0.89,1.0,0
s44,1.0,0.416,0.775,0.398,1.0,0
s45,0.759,0.336,0.882,0.412,1.0,0
s46,0.509,0.529,0.305,0.249,1.0,0
s47,0.595,0.554,0.629,0.655,1.0,0
s48,0.688,0.383,0.597,0.177,1.0,0
s49,0.534,0.109,0.692,0.457,1.0,0
s50,0.384,0.41,0.775,0.321,1.0,0
s51,0.65,0.327,0.41,0.577,1.0,0
s52,0.597,0.608,0.188,0.398,1.0,0
s53,0.301,0.0,0.538,0.264,1.0,0
s54,0.287,0.726,0.568,0.494,1.0,0
s55,0.827,0.334,0.269,0.586,1.0,0
s56,0.306,0.526,0.529,0.513,1.0,0
s57,0.152,0.534,0.603,0.56,1.0,0
s58,0.445,0.31,0.736,0.373,1.0,0
s59,0.558,0.194,0.545,0.427,1.0,0
s60,0.642,0.582,0.75,0.366,1.0,0
s61,0.549,0.357,0.704,0.428,1.0,0
s62,0.393,0.499,0.466,0.337,1.0,0
