	Environment	Age	Sex	Noise	1	Group	distance	weights
s0	0.454	0.665	0.305	0.853	1.0	0	0.538178602999737	0.0
s1	0.548	0.787	0.298	0.58	1.0	0	0.5796828994233649	0.0
s2	0.587	0.57	0.694	0.696	1.0	0	0.5295349823414357	0.6265060240963856
s3	0.563	0.462	0.542	0.948	1.0	0	0.5006468546686789	1.2530120481927711
s4	0.511	0.608	0.754	0.874	1.0	0	0.5289639982575786	0.0
s5	0.463	0.826	0.429	0.305	1.0	0	0.5778811602281398	1.2530120481927711
s6	0.458	0.494	0.307	0.69	1.0	0	0.49648985039820326	0.6265060240963856
s7	0.717	0.358	0.479	0.47	1.0	0	0.4948219554884139	0.6265060240963856
s8	0.915	0.323	0.227	0.479	1.0	0	0.5126403162848373	0.0
s9	0.622	0.777	0.367	0.582	1.0	0	0.5860517153348015	1.2530120481927711
s10	0.424	0.224	0.095	0.529	1.0	0	0.42710664623664857	0.0
s11	0.68	0.406	0.161	0.791	1.0	0	0.50369087326417	0.0
s12	0.41	0.225	0.783	0.652	1.0	0	0.4220151956375699	1.2530120481927711
s13	0.528	0.705	0.753	0.524	1.0	0	0.5549085775708039	0.0
s14	0.232	0.544	0.279	0.589	1.0	0	0.480331058099986	0.6265060240963856
s15	0.505	0.269	0.557	0.567	1.0	0	0.44572504119203377	0.0
s16	0.237	0.813	0.508	0.799	1.0	0	0.5460783615580678	1.8795180722891567
s17	0.544	0.326	0.206	0.459	1.0	0	0.46647373750430404	0.0
s18	0.354	0.46	0.222	0.563	1.0	0	0.47536613936701977	0.0
s19	0.406	0.195	0.634	0.329	1.0	0	0.41507997538391594	0.0
s20	0.702	0.688	1.0	0.0	1.0	0	0.5711985281410885	1.8795180722891567
s21	0.51	0.443	0.643	0.631	1.0	0	0.48868808355432725	0.6265060240963856
s22	0.595	0.479	0.266	0.673	1.0	0	0.5103835323416835	1.2530120481927711
s23	0.701	0.634	0.327	0.352	1.0	0	0.5615011444823617	1.8795180722891567
s24	0.592	0.311	0.565	0.954	1.0	0	0.4669343264585194	0.0
s25	0.528	0.519	0.67	0.209	1.0	0	0.5096066691540926	0.0
s26	0.426	0.374	0.159	0.509	1.0	0	0.46362951281999626	1.2530120481927711
s27	0.47	0.567	0.355	0.463	1.0	0	0.5157911849382564	0.6265060240963856
s28	0.541	0.623	0.788	0.807	1.0	0	0.536264269341207	0.6265060240963856
s29	0.39	0.733	0.285	0.794	1.0	0	0.5469064336321205	1.2530120481927711
s30	0.15	0.152	0.737	0.531	1.0	0	0.3734035228377023	0.0
s31	0.257	0.477	0.413	0.576	1.0	0	0.4662693087016454	0.0
s32	0.483	0.269	0.748	0.322	1.0	0	0.44195987506226814	0.6265060240963856
s33	0.737	0.15	0.53	0.104	1.0	0	0.4458951399474382	0.0
s34	0.466	0.438	0.457	0.43	1.0	0	0.48286947714568534	0.0
s35	0.451	0.488	0.436	0.531	1.0	0	0.4934290172742545	0.6265060240963856
s36	0.335	0.508	0.564	0.746	1.0	0	0.4829747383168518	1.2530120481927711
s37	0.502	0.738	0.704	0.74	1.0	0	0.5599596608915179	0.6265060240963856
s38	0.594	0.318	0.342	0.423	1.0	0	0.4700985079121015	0.0
s39	0.576	0.486	0.525	0.44	1.0	0	0.5083177544136984	1.2530120481927711
s40	0.424	0.582	0.429	0.29	1.0	0	0.5132678446911516	0.0
s41	0.498	0.803	0.618	0.216	1.0	0	0.5756799329621689	0.0
s42	0.677	0.419	0.002	0.159	1.0	0	0.5073731837260455	0.6265060240963856
s43	0.568	0.601	0.457	0.89	1.0	0	0.5360252710092337	0.0
s44	0.158	0.396	0.703	0.398	1.0	0	0.4325017264213553	0.0
s45	0.842	0.474	0.164	0.412	1.0	0	0.5409431596919801	1.8795180722891567
s46	0.714	0.351	0.583	0.249	1.0	0	0.492155408317104	1.2530120481927711
s47	0.602	0.476	0.522	0.655	1.0	0	0.5091611412542555	0.0
s48	0.926	0.513	0.786	0.177	1.0	0	0.5577448607159325	0.0
s49	0.891	0.214	0.344	0.457	1.0	0	0.4820418690484705	1.2530120481927711
s50	0.777	0.502	0.613	0.321	1.0	0	0.5372361882807413	0.0
s51	0.423	0.865	0.405	0.577	1.0	0	0.5824518953636948	0.0
s52	0.673	0.273	0.767	0.398	1.0	0	0.46674080703722287	0.6265060240963856
s53	0.229	0.667	0.494	0.264	1.0	0	0.5091865610603706	0.0
s54	0.324	0.335	0.658	0.494	1.0	0	0.43862622044257493	0.6265060240963856
s55	0.273	0.474	0.535	0.586	1.0	0	0.46690246830834653	0.0
s56	0.38	0.537	0.557	0.513	1.0	0	0.4958823282847139	0.0
s57	0.317	0.48	0.646	0.56	1.0	0	0.4733510528938613	0.6265060240963856
s58	0.548	0.442	0.403	0.373	1.0	0	0.49454479900554393	0.0
s59	0.778	0.467	0.678	0.427	1.0	0	0.5284040397306615	0.0
s60	0.447	0.807	0.262	0.366	1.0	0	0.5721803452250376	0.0
s61	0.513	0.353	0.536	0.428	1.0	0	0.4674432342244624	1.2530120481927711
s62	0.183	0.157	0.784	0.337	1.0	0	0.3782558816858366	0.0
s63	0.077	0.418	0.574	0.155	1.0	0	0.42843167104687313	0.6265060240963856
s64	0.392	0.618	0.716	0.535	1.0	0	0.5165660323298729	0.6265060240963856
s65	0.586	0.409	0.552	0.42	1.0	0	0.4904146664719314	1.2530120481927711
s66	0.555	0.329	0.443	0.174	1.0	0	0.46733906388292373	0.0
s67	0.532	0.556	0.398	0.593	1.0	0	0.5207027696122394	0.0
s68	0.585	0.27	0.702	0.319	1.0	0	0.4552523588872309	1.2530120481927711
s69	0.821	0.458	0.666	0.51	1.0	0	0.5316880595490362	0.6265060240963856
s70	0.478	0.429	0.377	0.646	1.0	0	0.48259618755456557	0.0
s71	0.151	0.559	0.623	0.526	1.0	0	0.47193951924510646	0.6265060240963856
s72	0.684	0.157	0.599	0.728	1.0	0	0.4406003125635595	1.2530120481927711
s73	0.657	0.604	0.72	0.253	1.0	0	0.5465792199025648	0.6265060240963856
s74	0.55	0.262	0.603	0.58	1.0	0	0.4494176334322027	1.8795180722891567
s75	0.4	0.273	0.787	0.363	1.0	0	0.4323628514513339	0.0
s76	0.661	0.55	0.542	0.326	1.0	0	0.5347730039230465	0.6265060240963856
s77	0.273	0.635	0.128	0.384	1.0	0	0.5088193324026332	0.0
s78	0.348	0.308	0.725	0.438	1.0	0	0.43470427180763616	0.0
s79	0.379	0.532	0.468	0.511	1.0	0	0.4949960051497198	0.6265060240963856
s80	0.189	0.241	0.6	0.267	1.0	0	0.39964668727306407	0.6265060240963856
s81	0.503	0.343	0.0	0.68	1.0	0	0.4665745222785176	0.0
s82	0.471	0.234	0.704	0.593	1.0	0	0.4321807060026364	0.0
s83	0.0	0.564	0.356	0.193	1.0	0	0.4555326983165651	0.6265060240963856
s84	0.834	0.37	0.106	0.798	1.0	0	0.5146240683624954	0.0
s85	0.34	0.582	0.35	0.879	1.0	0	0.5030354515461857	0.0
s86	0.478	0.736	0.695	0.736	1.0	0	0.5565157408885009	0.0
s87	0.64	0.757	0.361	0.464	1.0	0	0.5835005186210521	1.2530120481927711
s88	0.564	0.389	0.788	0.286	1.0	0	0.48142529820461405	0.6265060240963856
s89	0.477	0.655	0.849	0.711	1.0	0	0.5357285451511378	0.0
s90	0.403	0.428	0.488	0.419	1.0	0	0.47226047959014394	0.0
s91	0.576	0.535	0.424	0.744	1.0	0	0.5209562194876131	1.8795180722891567
s92	0.04	0.444	0.543	0.542	1.0	0	0.43029052451392413	0.6265060240963856
s93	0.444	0.386	0.46	0.695	1.0	0	0.4672512304412263	0.0
s94	0.344	0.325	0.573	0.571	1.0	0	0.43913949481846887	1.2530120481927711
s95	0.459	0.453	0.387	0.641	1.0	0	0.4860597406640153	1.2530120481927711
s96	0.595	0.56	0.455	0.502	1.0	0	0.5293579866599601	0.6265060240963856
s97	0.281	0.58	0.655	0.857	1.0	0	0.4934237426563056	0.0
s98	0.765	0.36	0.327	0.525	1.0	0	0.5022196049782227	0.6265060240963856
s99	0.402	0.39	0.269	0.58	1.0	0	0.4639482997080597	1.2530120481927711
s100	0.424	0.697	0.386	0.877	1.0	1	0.5418235943192601	1.0
s101	0.039	0.422	0.747	0.23	1.0	1	0.42377708017075527	1.0
s102	0.563	0.214	0.183	0.246	1.0	1	0.44154655120464875	1.0
s103	0.826	0.678	0.337	0.694	1.0	1	0.5875822966053762	1.0
s104	0.758	0.421	0.519	0.265	1.0	1	0.5153746105359484	1.0
s105	0.134	0.595	0.563	0.889	1.0	1	0.47898326246212314	1.0
s106	0.198	0.36	0.862	0.417	1.0	1	0.42792055382327765	1.0
s107	0.38	0.477	0.428	0.351	1.0	1	0.481752403470776	1.0
s108	0.494	0.501	0.405	0.885	1.0	1	0.5022631813614947	1.0
s109	0.356	0.383	0.713	0.796	1.0	1	0.45407345101019037	1.0
s110	0.564	0.316	0.169	0.874	1.0	1	0.466736812559884	1.0
s111	0.682	0.336	0.818	0.681	1.0	1	0.4831366176989212	1.0
s112	0.371	0.554	0.277	0.328	1.0	1	0.5004396230156053	1.0
s113	0.499	0.576	0.293	0.882	1.0	1	0.5220177062914031	1.0
s114	0.542	0.451	0.564	0.446	1.0	1	0.49514628613554357	1.0
s115	0.386	1.0	0.284	0.66	1.0	1	0.6106655380357625	0.0
s116	0.528	0.852	0.443	0.689	1.0	1	0.5920564679194754	0.0
s117	0.578	0.476	0.627	0.469	1.0	1	0.5055549950014798	1.0
s118	0.732	0.628	0.855	0.623	1.0	1	0.56113245694954	1.0
s119	0.401	0.796	0.642	0.684	1.0	1	0.5617826424198371	1.0
s120	0.0	0.738	0.716	0.575	1.0	1	0.49649042174300906	1.0
s121	0.435	0.334	0.478	0.28	1.0	1	0.45325194559707593	1.0
s122	0.413	0.575	0.848	0.56	1.0	1	0.5079029477432399	1.0
s123	0.432	0.453	0.301	0.765	1.0	1	0.4830968533705641	1.0
s124	0.443	0.187	0.615	0.361	1.0	1	0.4178204729206538	0.0
s125	0.161	0.584	0.224	0.47	1.0	1	0.48150035347795533	1.0
s126	0.432	0.743	0.786	0.413	1.0	1	0.5519763310299983	0.0
s127	0.388	0.129	0.196	0.87	1.0	1	0.39938945243034113	1.0
s128	0.614	0.194	0.803	0.634	1.0	1	0.4397829747420605	1.0
s129	0.372	0.595	0.748	0.581	1.0	1	0.5081784074282778	1.0
s130	0.358	0.813	0.435	0.346	1.0	1	0.5616377079759973	1.0
s131	0.521	0.664	0.627	0.608	1.0	1	0.5446649385211696	1.0
s132	0.382	0.497	0.626	0.365	1.0	1	0.4858851895587278	1.0
s133	0.537	0.228	0.552	0.506	1.0	1	0.4397588500809809	1.0
s134	0.36	0.948	0.669	0.373	1.0	1	0.5932148701839713	0.0
s135	0.49	0.283	0.422	0.635	1.0	1	0.4479782076153239	1.0
s136	1.0	0.522	0.763	0.615	1.0	1	0.5692914717448885	1.0
s137	0.239	0.377	0.123	0.458	1.0	1	0.44104761760732103	1.0
s138	0.179	0.275	0.736	0.579	1.0	1	0.40581029115800493	0.0
s139	1.0	0.419	0.505	0.281	1.0	1	0.5455391083799581	1.0
s140	0.52	0.631	0.673	0.202	1.0	1	0.536192460277705	1.0
s141	0.586	0.565	0.482	0.588	1.0	1	0.5293074407715685	1.0
s142	0.728	0.997	0.474	0.533	1.0	1	0.6494572158546469	0.0
s143	0.219	0.28	0.657	0.627	1.0	1	0.41232109545291756	0.0
s144	0.633	0.28	0.597	0.977	1.0	1	0.46431655547585876	1.0
s145	0.695	0.532	0.524	0.689	1.0	1	0.5347350641167077	1.0
s146	0.692	0.574	0.544	0.317	1.0	1	0.5445645558449864	1.0
s147	0.737	0.337	0.438	0.723	1.0	1	0.49238952655434054	1.0
s148	0.188	0.495	0.493	0.237	1.0	1	0.46155953333766664	1.0
s149	0.386	0.514	0.727	0.408	1.0	1	0.4900512158462728	1.0
s150	0.709	0.097	0.391	0.486	1.0	1	0.4302334010716462	1.0
s151	0.653	0.624	0.48	0.843	1.0	1	0.55224250504222	0.0
s152	0.742	0.677	0.327	0.351	1.0	1	0.577025014619858	1.0
s153	0.744	0.707	0.488	0.335	1.0	1	0.5836556216481738	1.0
s154	0.593	0.601	0.337	0.48	1.0	1	0.5398173906873505	1.0
s155	0.611	0.702	0.344	0.367	1.0	1	0.5667088662304014	0.0
s156	0.537	0.232	0.491	0.725	1.0	1	0.4410550685234019	1.0
s157	0.481	0.326	0.67	0.284	1.0	1	0.45606093616135635	1.0
s158	0.549	0.799	0.208	0.271	1.0	1	0.5831621204266256	1.0
s159	0.284	0.882	0.506	0.412	1.0	1	0.5687968219148083	1.0
s160	0.338	0.402	0.232	0.4	1.0	1	0.4590208486640524	0.0
s161	0.904	0.489	0.753	0.886	1.0	1	0.5492968908480066	1.0
s162	0.45	0.641	0.612	0.69	1.0	1	0.5301352345367041	1.0
s163	0.213	0.591	0.596	0.518	1.0	1	0.4878318988326652	1.0
s164	0.815	0.506	0.537	0.255	1.0	1	0.5434123576899474	1.0
s165	0.52	0.265	0.178	0.669	1.0	1	0.44863458915382604	1.0
s166	0.636	0.167	0.413	0.3	1.0	1	0.4380150926487548	1.0
s167	0.591	0.412	0.15	0.191	1.0	1	0.4939403553786697	1.0
s168	0.298	0.282	0.496	0.738	1.0	1	0.4233928090218187	1.0
s169	0.774	0.64	0.479	0.563	1.0	1	0.5712577709763449	1.0
s170	0.143	0.482	0.61	0.684	1.0	1	0.4520826035975281	0.0
s171	0.515	0.678	0.472	0.564	1.0	1	0.5481623893352457	1.0
s172	0.577	0.346	0.524	0.671	1.0	1	0.47387565381960467	1.0
s173	0.505	0.291	0.627	0.37	1.0	1	0.4507331862719107	1.0
s174	0.711	0.257	0.553	0.293	1.0	1	0.46874472893384217	1.0
s175	0.183	0.484	0.22	0.636	1.0	1	0.45967895906189327	0.0
s176	0.455	0.992	0.061	0.339	1.0	1	0.6182186638344023	0.0
s177	0.532	0.436	0.183	0.362	1.0	1	0.4922093091603	1.0
s178	0.681	0.239	0.371	0.409	1.0	1	0.4614991037717372	1.0
s179	0.802	0.315	0.519	0.503	1.0	1	0.4947661613782319	1.0
s180	0.372	0.648	0.613	0.429	1.0	1	0.5219853774339334	1.0
s181	0.868	0.402	0.752	0.225	1.0	1	0.5233773335009144	1.0
s182	0.851	0.231	0.224	0.371	1.0	1	0.4818101828174293	1.0
s183	0.475	0.351	0.203	0.055	1.0	1	0.46392568093871817	1.0
s184	0.332	0.204	0.637	0.625	1.0	1	0.40812342694503584	0.0
s185	0.582	0.507	0.105	0.18	1.0	1	0.516510699716987	1.0
s186	0.483	0.546	0.569	0.279	1.0	1	0.5111093195102014	1.0
s187	0.841	0.755	0.0	0.51	1.0	1	0.6094312554552177	0.0
s188	0.648	0.629	0.738	0.352	1.0	1	0.5514718168749114	0.0
s189	0.593	0.802	0.59	0.809	1.0	1	0.5873181759777292	1.0
s190	0.559	0.711	0.915	0.241	1.0	1	0.5593985503991281	1.0
s191	0.939	0.46	0.775	0.553	1.0	1	0.5464792520988069	1.0
s192	0.272	0.48	0.504	0.492	1.0	1	0.46841788259620354	1.0
s193	0.36	0.447	0.435	0.266	1.0	1	0.4717851476346384	1.0
s194	0.547	0.508	0.367	0.605	1.0	1	0.5109194836572828	1.0
s195	0.365	0.552	0.22	0.466	1.0	1	0.4994890149999116	1.0
s196	0.23	0.575	0.564	0.654	1.0	1	0.48620704131372533	1.0
s197	0.564	0.423	0.815	0.665	1.0	1	0.4896763533473775	1.0
s198	0.5	0.81	0.55	0.933	1.0	1	0.5779720249595119	1.0
s199	0.522	0.605	0.43	0.767	1.0	1	0.5313430513850037	1.0
