	V1
s100	s45
s101	s12
s102	s32
s103	s9
s104	s27
s105	s14
s106	s63
s107	s49
s108	s98
s109	s68
s110	s52
s111	s36
s112	s3
s113	s91
s114	s79
s115	NA_character_
s116	NA_character_
s117	s42
s118	s23
s119	s23
s120	s6
s121	s68
s122	s39
s123	s36
s124	NA_character_
s125	s88
s126	NA_character_
s127	s80
s128	s94
s129	s39
s130	s23
s131	s16
s132	s95
s133	s94
s134	NA_character_
s135	s74
s136	s20
s137	s72
s138	NA_character_
s139	s16
s140	s28
s141	s96
s142	NA_character_
s143	NA_character_
s144	s99
s145	s76
s146	s16
s147	s46
s148	s26
s149	s65
s150	s92
s151	NA_character_
s152	s5
s153	s87
s154	s45
s155	NA_character_
s156	s72
s157	s83
s158	s87
s159	s20
s160	NA_character_
s161	s29
s162	s2
s163	s21
s164	s45
s165	s74
s166	s54
s167	s35
s168	s12
s169	s20
s170	NA_character_
s171	s29
s172	s57
s173	s74
s174	s61
s175	NA_character_
s176	NA_character_
s177	s46
s178	s26
s179	s7
s180	s91
s181	s91
s182	s49
s183	s99
s184	NA_character_
s185	s64
s186	s22
s187	NA_character_
s188	NA_character_
s189	s9
s190	s37
s191	s73
s192	s61
s193	s71
s194	s22
s195	s3
s196	s95
s197	s65
s198	s5
s199	s69
