,Case,Control
0,N2_031_008G1,S2_CON_002E2
1,N2_031_010G1,S2_CON_002E2
2,N2_031_012G1,S2_CON_002E2
3,N2_031_014G1,S2_CON_002E2
4,N2_031_016G1,S2_CON_002E2
5,N2_031_018G1,S2_CON_002E2
7,N2_031_021G1,S2_CON_002E2
8,N2_031_023G1,S2_CON_002E2
9,N2_031_027G1,S2_CON_002E2
10,N2_031_033G1,S2_CON_002E2
11,N2_031_040G1,S2_CON_001E1
12,N2_031_055G1,S2_CON_002E2
13,N2_035_010G1,S2_CON_002E2
14,N2_035_012G1,S2_CON_002E2
45,N2_039_037G1,S2_CON_002E2
47,N2_060_008G1,S2_CON_002E2
48,N2_060_009G1,S2_CON_002E2
49,N2_060_011G1,S2_CON_002E2
52,N2_060_016G1,S2_CON_002E2
53,N2_060_019G1,S2_CON_002E2
54,N2_060_020G1,S2_CON_002E2
58,N2_061_015G1,S2_CON_002E2
59,N2_061_019G1,S2_CON_002E2
61,N2_061_025G1,S2_CON_002E2
63,N2_064_009G1,S2_CON_002E2
74,N2_065_008G1,S2_CON_002E2
75,N2_065_009G1,S2_CON_002E2
76,N2_065_011G1,S2_CON_002E2
77,N2_065_014G1,S2_CON_002E2
78,N2_065_017G1,S2_CON_002E2
79,N2_065_019G1,S2_CON_002E2
80,N2_065_022G1,S2_CON_002E2
82,N2_065_026G1,S2_CON_002E2
84,N2_065_038G1,S2_CON_002E2
103,N2_069_014G1,S2_CON_000E1
104,N2_069_015G1,S2_CON_002E2
105,N2_069_017G1,S2_CON_002E2
106,N2_069_018G1,S2_CON_002E2
107,N2_069_019G1,S2_CON_002E2
108,N2_069_021G1,S2_CON_002E2
109,N2_069_024G1,S2_CON_002E2
110,N2_069_027G1,S2_CON_002E2
111,N2_069_028G1,S2_CON_002E2
112,N2_069_029G1,S2_CON_002E2
117,N2_070_027G1,S2_CON_002E2
118,N2_070_030G1,S2_CON_002E2
120,N2_070_042G1,S2_CON_002E2
121,N2_070_057G1,S2_CON_002E2
122,N2_070_060G1,S2_CON_002E2
123,N2_071_007G1,S2_CON_002E2
124,N2_071_008G1,S2_CON_002E2
130,N2_071_021G1,S2_CON_000E1
131,N2_071_023G1,S2_CON_002E2
138,N2_088_013G1,S2_CON_002E2
148,N2_093_009G1,S2_CON_002E2
149,N2_093_010G1,S2_CON_002E2
150,S2_002_005G1,S2_CON_002E2
204,S2_004_027G1,S2_CON_002E2
211,S2_006_009G1,S2_CON_002E2
212,S2_006_010G1,S2_CON_002E2
213,S2_006_011G1,S2_CON_002E2
214,S2_006_012G1,S2_CON_002E2
215,S2_006_013G1,S2_CON_002E1
216,S2_006_014G1,S2_CON_002E2
217,S2_006_015G1,S2_CON_002E2
