	V1
N2_031_008G1	S2_CON_002E2
N2_031_010G1	S2_CON_002E2
N2_031_012G1	S2_CON_002E2
N2_031_014G1	S2_CON_002E2
N2_031_016G1	S2_CON_002E2
N2_031_018G1	S2_CON_002E2
N2_031_020G1	NA_character_
N2_031_021G1	S2_CON_002E2
N2_031_023G1	S2_CON_002E2
N2_031_027G1	S2_CON_002E2
N2_031_033G1	S2_CON_002E2
N2_031_040G1	S2_CON_001E1
N2_031_055G1	S2_CON_002E2
N2_035_010G1	S2_CON_002E2
N2_035_012G1	S2_CON_002E2
N2_035_014G1	NA_character_
N2_035_016G1	NA_character_
N2_035_018G1	NA_character_
N2_035_020G1	NA_character_
N2_035_022G1	NA_character_
N2_035_025G1	NA_character_
N2_035_027G1	NA_character_
N2_035_032G1	NA_character_
N2_035_039G1	NA_character_
N2_035_046G1	NA_character_
N2_035_053G1	NA_character_
N2_038_009G1	NA_character_
N2_038_011G1	NA_character_
N2_038_013G1	NA_character_
N2_038_015G1	NA_character_
N2_038_018G1	NA_character_
N2_038_020G1	NA_character_
N2_038_026G1	NA_character_
N2_038_030G1	NA_character_
N2_038_036G1	NA_character_
N2_038_039G1	NA_character_
N2_038_044G1	NA_character_
N2_039_008G1	NA_character_
N2_039_011G1	NA_character_
N2_039_013G1	NA_character_
N2_039_015G1	NA_character_
N2_039_018G1	NA_character_
N2_039_020G1	NA_character_
N2_039_021G1	NA_character_
N2_039_035G1	NA_character_
N2_039_037G1	S2_CON_002E2
N2_039_044G1	NA_character_
N2_060_008G1	S2_CON_002E2
N2_060_009G1	S2_CON_002E2
N2_060_011G1	S2_CON_002E2
N2_060_013G1	NA_character_
N2_060_015G1	NA_character_
N2_060_016G1	S2_CON_002E2
N2_060_019G1	S2_CON_002E2
N2_060_020G1	S2_CON_002E2
N2_060_021G1	NA_character_
N2_061_007G1	NA_character_
N2_061_008G1	NA_character_
N2_061_015G1	S2_CON_002E2
N2_061_019G1	S2_CON_002E2
N2_061_021G1	NA_character_
N2_061_025G1	S2_CON_002E2
N2_061_082G1	NA_character_
N2_064_009G1	S2_CON_002E2
N2_064_011G1	NA_character_
N2_064_013G1	NA_character_
N2_064_016G1	NA_character_
N2_064_017G1	NA_character_
N2_064_020G1	NA_character_
N2_064_025G1	NA_character_
N2_064_027G1	NA_character_
N2_064_031G1	NA_character_
N2_064_036G1	NA_character_
N2_064_043G1	NA_character_
N2_065_008G1	S2_CON_002E2
N2_065_009G1	S2_CON_002E2
N2_065_011G1	S2_CON_002E2
N2_065_014G1	S2_CON_002E2
N2_065_017G1	S2_CON_002E2
N2_065_019G1	S2_CON_002E2
N2_065_022G1	S2_CON_002E2
N2_065_024G1	NA_character_
N2_065_026G1	S2_CON_002E2
N2_065_029G1	NA_character_
N2_065_038G1	S2_CON_002E2
N2_065_046G1	NA_character_
N2_065_052G1	NA_character_
N2_065_059G1	NA_character_
N2_066_009G1	NA_character_
N2_066_011G1	NA_character_
N2_066_013G1	NA_character_
N2_066_015G1	NA_character_
N2_066_017G1	NA_character_
N2_066_019G1	NA_character_
N2_066_021G1	NA_character_
N2_066_024G1	NA_character_
N2_066_031G1	NA_character_
N2_066_033G1	NA_character_
N2_066_037G1	NA_character_
N2_066_048G1	NA_character_
N2_066_050G1	NA_character_
N2_066_060G1	NA_character_
N2_066_064G1	NA_character_
N2_069_014G1	S2_CON_000E1
N2_069_015G1	S2_CON_002E2
N2_069_017G1	S2_CON_002E2
N2_069_018G1	S2_CON_002E2
N2_069_019G1	S2_CON_002E2
N2_069_021G1	S2_CON_002E2
N2_069_024G1	S2_CON_002E2
N2_069_027G1	S2_CON_002E2
N2_069_028G1	S2_CON_002E2
N2_069_029G1	S2_CON_002E2
N2_070_016G1	NA_character_
N2_070_019G1	NA_character_
N2_070_020G1	NA_character_
N2_070_024G1	NA_character_
N2_070_027G1	S2_CON_002E2
N2_070_030G1	S2_CON_002E2
N2_070_036G1	NA_character_
N2_070_042G1	S2_CON_002E2
N2_070_057G1	S2_CON_002E2
N2_070_060G1	S2_CON_002E2
N2_071_007G1	S2_CON_002E2
N2_071_008G1	S2_CON_002E2
N2_071_010G1	NA_character_
N2_071_013G1	NA_character_
N2_071_015G1	NA_character_
N2_071_017G1	NA_character_
N2_071_019G1	NA_character_
N2_071_021G1	S2_CON_000E1
N2_071_023G1	S2_CON_002E2
N2_071_025G1	NA_character_
N2_071_027G1	NA_character_
N2_071_029G1	NA_character_
N2_071_030G1	NA_character_
N2_088_008G1	NA_character_
N2_088_010G1	NA_character_
N2_088_013G1	S2_CON_002E2
N2_088_015G1	NA_character_
N2_088_018G1	NA_character_
N2_088_022G1	NA_character_
N2_088_027G1	NA_character_
N2_088_034G1	NA_character_
N2_088_042G1	NA_character_
N2_093_007G1	NA_character_
N2_093_008G1	NA_character_
N2_093_008G2	NA_character_
N2_093_009G1	S2_CON_002E2
N2_093_010G1	S2_CON_002E2
S2_002_005G1	S2_CON_002E2
S2_002_007G1	NA_character_
S2_002_010G1	NA_character_
S2_002_011G1	NA_character_
S2_002_012G1	NA_character_
S2_002_013G1	NA_character_
S2_002_014G1	NA_character_
S2_002_015G1	NA_character_
S2_002_016G1	NA_character_
S2_002_017G1	NA_character_
S2_002_018G1	NA_character_
S2_002_019G1	NA_character_
S2_002_020G1	NA_character_
S2_002_022G1	NA_character_
S2_002_023G1	NA_character_
S2_002_024G1	NA_character_
S2_002_026G1	NA_character_
S2_002_027G1	NA_character_
S2_002_028G1	NA_character_
S2_003_005G1	NA_character_
S2_003_007G1	NA_character_
S2_003_008G1	NA_character_
S2_003_009G1	NA_character_
S2_003_010G1	NA_character_
S2_003_011G1	NA_character_
S2_003_012G1	NA_character_
S2_003_013G1	NA_character_
S2_003_014G1	NA_character_
S2_003_015G1	NA_character_
S2_003_016G1	NA_character_
S2_003_017G1	NA_character_
S2_003_018G1	NA_character_
S2_003_019G1	NA_character_
S2_003_020G1	NA_character_
S2_003_021G1	NA_character_
S2_004_006G1	NA_character_
S2_004_007G1	NA_character_
S2_004_008G1	NA_character_
S2_004_009G1	NA_character_
S2_004_010G1	NA_character_
S2_004_011G1	NA_character_
S2_004_012G1	NA_character_
S2_004_013G1	NA_character_
S2_004_014G1	NA_character_
S2_004_015G1	NA_character_
S2_004_016G1	NA_character_
S2_004_017G1	NA_character_
S2_004_018G1	NA_character_
S2_004_019G1	NA_character_
S2_004_020G1	NA_character_
S2_004_021G1	NA_character_
S2_004_023G1	NA_character_
S2_004_025G1	NA_character_
S2_004_026G1	NA_character_
S2_004_027G1	S2_CON_002E2
S2_004_028G1	NA_character_
S2_005_000G1	NA_character_
S2_006_005G1	NA_character_
S2_006_006G1	NA_character_
S2_006_007G1	NA_character_
S2_006_008G1	NA_character_
S2_006_009G1	S2_CON_002E2
S2_006_010G1	S2_CON_002E2
S2_006_011G1	S2_CON_002E2
S2_006_012G1	S2_CON_002E2
S2_006_013G1	S2_CON_002E1
S2_006_014G1	S2_CON_002E2
S2_006_015G1	S2_CON_002E2
S2_006_016G1	S2_CON_002E2
S2_006_018G1	S2_CON_002E2
S2_006_019G1	S2_CON_002E2
S2_006_020G1	S2_CON_002E2
S2_006_021G1	S2_CON_002E2
S2_006_022G1	NA_character_
S2_006_023G1	S2_CON_002E2
S2_006_026G1	S2_CON_002E2
S2_006_027G1	S2_CON_002E2
S2_008_007G1	NA_character_
S2_008_008G1	S2_CON_002E1
S2_008_010G1	NA_character_
S2_008_011G1	NA_character_
S2_008_012G1	NA_character_
S2_008_014G1	NA_character_
S2_008_015G1	NA_character_
S2_008_017G1	NA_character_
S2_008_020G1	NA_character_
S2_008_021G1	NA_character_
S2_008_023G1	NA_character_
S2_008_024G1	NA_character_
S2_008_026G1	NA_character_
S2_008_027G1	NA_character_
S2_009_005G1	NA_character_
S2_009_008G1	NA_character_
S2_009_009G1	S2_CON_000E1
S2_009_010G1	NA_character_
S2_009_011G1	S2_CON_002E1
S2_009_012G1	S2_CON_002E2
S2_009_013G1	S2_CON_002E2
S2_009_014G1	S2_CON_002E2
S2_009_015G1	S2_CON_002E2
S2_009_016G1	S2_CON_002E2
S2_009_017G1	S2_CON_002E2
S2_009_018G1	S2_CON_002E2
S2_009_019G1	S2_CON_002E2
S2_009_020G1	S2_CON_002E2
S2_009_021G1	S2_CON_002E2
S2_009_022G1	S2_CON_002E2
S2_009_023G1	S2_CON_002E2
S2_009_024G1	S2_CON_002E2
S2_009_025G1	S2_CON_002E2
S2_009_026G1	S2_CON_002E2
S2_009_027G1	S2_CON_002E2
S2_009_028G1	S2_CON_002E2
S2_010_005G1	S2_CON_001E1
S2_010_006G1	S2_CON_001E1
S2_010_007G1	NA_character_
S2_010_008G1	S2_CON_000E1
S2_010_016G1	S2_CON_002E2
S2_010_017G1	S2_CON_002E1
S2_010_018G1	S2_CON_002E2
S2_010_019G1	S2_CON_000E1
S2_010_021G1	NA_character_
S2_010_022G1	NA_character_
S2_010_023G1	NA_character_
S2_010_024G1	NA_character_
S2_010_026G1	NA_character_
S2_010_030G1	NA_character_
S2_011_007G1	NA_character_
S2_011_008G1	S2_CON_002E2
S2_011_009G1	NA_character_
S2_011_010G1	NA_character_
S2_011_011G1	S2_CON_002E2
S2_011_012G1	NA_character_
S2_011_013G1	NA_character_
S2_011_014G1	NA_character_
S2_011_015G1	NA_character_
S2_011_016G1	NA_character_
S2_011_017G1	NA_character_
S2_011_018G1	NA_character_
S2_011_019G1	NA_character_
S2_011_020G1	NA_character_
S2_011_021G1	NA_character_
S2_011_022G1	NA_character_
S2_011_023G1	NA_character_
S2_011_024G1	NA_character_
S2_011_025G1	NA_character_
S2_011_026G1	NA_character_
S2_011_028G1	NA_character_
S2_012_005G1	NA_character_
S2_012_007G1	NA_character_
S2_012_008G1	NA_character_
S2_012_009G1	S2_CON_002E1
S2_012_010G1	NA_character_
S2_012_011G1	NA_character_
S2_012_012G1	NA_character_
S2_012_013G1	NA_character_
S2_012_014G1	NA_character_
S2_012_015G1	NA_character_
S2_012_016G1	NA_character_
S2_012_017G1	NA_character_
S2_012_018G1	NA_character_
S2_012_019G1	NA_character_
S2_012_020G1	NA_character_
S2_012_021G1	NA_character_
S2_012_022G1	NA_character_
S2_012_023G1	NA_character_
S2_012_024G1	NA_character_
S2_012_025G1	NA_character_
S2_012_026G1	NA_character_
S2_012_027G1	NA_character_
S2_014_007G1	NA_character_
S2_014_009G1	NA_character_
S2_014_010G1	NA_character_
S2_014_011G1	S2_CON_002E2
S2_014_013G1	NA_character_
S2_014_015G1	NA_character_
S2_014_016G1	NA_character_
S2_014_017G1	NA_character_
S2_014_018G1	NA_character_
S2_014_019G1	NA_character_
S2_014_020G1	NA_character_
S2_014_021G1	NA_character_
