,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",5,8.719197999999999e-05,403,1.120544925558313e-05,1.8549454368480496,0.12851467824888405,0.00020503035658407307,0.0075703516277196205,164,0.00016558820060975617,164,4.3369712804878064e-06,4.064433214366933,0.02619130629185833,3.839666062846123e-61,1.843039710166139e-58
PWY66-399: gluconeogenesis III,5,5.884204e-05,403,1.150677734491315e-05,1.2485374943881737,0.1955536780321204,0.016997062098795097,0.06043399857349368,164,0.00013738938780487767,164,3.3061963414634142e-06,3.346510755770832,0.02406442298264638,1.0883489818880626e-59,2.61203755653135e-57
PWY-2941: L-lysine biosynthesis II,5,8.18054e-06,403,0.00014863466446650124,0.9707266942633276,18.16929743837219,0.001536949113037793,0.026388263853266865,164,0.0,164,4.933846353658539e-05,1.4206644015875955,inf,4.836978462118663e-55,7.73916553938986e-53
PWY-6700: queuosine biosynthesis,5,8.192714000000001e-05,403,0.00027562381662531025,1.5706741031635894,3.3642553203408565,0.00036521251608409697,0.012521571980026182,164,0.00012521263414634119,164,0.00022495442682926827,2.3935114904954293,1.7965793017847922,1.792329194156233e-54,2.1507950329874796e-52
PWY-5005: biotin biosynthesis II,5,6.429430000000001e-05,403,7.006433296029773e-05,0.0495216838682647,1.0897440824505082,0.3928817680439626,0.5253015283039054,164,0.00011018364512195137,164,1.2088294335365849e-05,3.545988365860736,0.10971042319380987,2.41027009545631e-54,2.313859291638058e-52
PWY0-1061: superpathway of L-alanine biosynthesis,5,9.272052e-05,403,0.00020957331143920597,0.9110297341306586,2.260268939811877,0.019798813222050845,0.06413151923432753,164,0.00010179772317073162,164,0.0002451980030487805,2.904691077784164,2.4086786561772398,1.0154263388170138e-53,8.12341071053611e-52
PWY0-1296: purine ribonucleosides degradation,5,0.00010264320000000001,403,0.0004361576345161289,0.6378164588723514,4.249259907291752,0.0004977028341628728,0.01592649069321193,164,0.00013101403048780503,164,0.0002865616750000002,2.4324189460403627,2.1872594403289787,6.832704659093938e-53,4.6852831948072715e-51
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),5,6.98402e-05,403,0.00016382798421836218,1.2564908378265123,2.3457547976432225,0.006663546072536994,0.034405198941103735,164,5.7633989024390294e-05,164,0.00019437444024390248,3.6400962337230145,3.3725661460226988,1.2777501588844154e-52,7.666500953306492e-51
PWY-101: photosynthesis light reactions,5,1.4422920000000001e-06,403,3.508079404466501e-09,6.226381762732977,0.002432294850464747,4.160108474246877e-19,9.984260338192506e-17,164,4.140494634146341e-06,164,0.0,2.953373883420884,0.0,2.343932633828661e-52,1.0228069674888703e-50
PWY-6785: hydrogen production VIII,5,1.759756e-06,403,2.8677915632754342e-09,6.223586139049163,0.0016296529537478117,4.620207066344401e-25,2.2176993918453123e-22,164,5.0743675609755974e-06,164,0.0,2.9471315487192724,0.0,2.343932633828661e-52,1.0228069674888703e-50
PWY1G-0: mycothiol biosynthesis,5,1.906942e-05,403,2.703268238213399e-07,4.084213298037182,0.014175933186291977,2.588162528984589e-15,3.105795034781507e-13,164,4.469455975609765e-05,164,0.0,3.1992649566009437,0.0,2.343932633828661e-52,1.0228069674888703e-50
PWY-5484: glycolysis II (from fructose 6-phosphate),5,0.0001319954,403,0.00029686942357320104,1.4744666953814713,2.2490891619950473,0.0010818870210299268,0.02360627686199931,164,0.00017570949999999965,164,0.0002814399048780488,2.286433158431076,1.6017341400325502,5.5368719428314434e-52,1.8884875789072686e-50
PWY-4041: &gamma;-glutamyl cycle,5,0.00010691532000000001,403,0.00027551736997518604,1.3407236219782361,2.5769681087348943,0.0027718253301217254,0.02827068357674627,164,0.00014557873170731707,164,0.0003013743475609756,2.6239905082749857,2.0701811592017596,7.081828420902257e-52,1.8884875789072686e-50
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),5,0.0001524114,403,0.00033216191464019847,1.5034971484923796,2.1793770980399003,0.0008884446266398416,0.02360627686199931,164,0.00020653105487804894,164,0.0003140888170731707,1.9961296522065561,1.5207825150490406,6.89356587904492e-52,1.8884875789072686e-50
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),5,0.0001347452,403,0.00027268645401985124,1.1072693660371098,2.023719242094347,0.006623763249318473,0.034405198941103735,164,0.0001715396768292686,164,0.0003042512018292683,2.6133581639084866,1.7736491490075847,6.89356587904492e-52,1.8884875789072686e-50
FAO-PWY: fatty acid &beta;-oxidation I,5,0.0001475092,403,0.0002816744385607941,0.773824099083018,1.9095381071878508,0.041179815029527445,0.09839074616556251,164,0.00011657929268292672,164,0.00036432757560975594,2.7974086690042284,3.125148276552483,5.7930986548612956e-52,1.8884875789072686e-50
PWY-6562: norspermidine biosynthesis,5,9.56856e-06,403,2.2364222580645158e-07,4.597569419104554,0.023372610487518663,2.9511775002518736e-05,0.001287786545564454,164,2.7389045121951258e-05,164,2.013780487804878e-08,2.9547245451306097,0.0007352503451063765,4.907707890070437e-52,1.8884875789072686e-50
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),5,0.0003043194,403,0.0005931775337468983,1.3295931036716058,1.949193951312004,0.002341212315650411,0.02809454778780493,164,0.0003767801707317076,164,0.0006525747804878051,2.490370280533198,1.7319775061954668,6.89356587904492e-52,1.8884875789072686e-50
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),5,0.0001230186,403,0.00025196721235732,1.0779733609203073,2.0482041931652613,0.00818073241777938,0.03739763390984859,164,0.00015593058536585394,164,0.0002857219170731707,2.7300720495584794,1.8323660903522703,1.0486266085931845e-51,2.516703860623643e-50
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),5,0.0001230186,403,0.0002519794945905706,1.078052690605094,2.0483040336223186,0.00818073241777938,0.03739763390984859,164,0.00015593058536585394,164,0.00028572369146341467,2.7300723364533597,1.8323774697121296,1.0486266085931845e-51,2.516703860623643e-50
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,5,8.442832e-05,403,0.000218697336873449,1.3752720255705835,2.590331501011142,0.003376378388361651,0.029466575025701686,164,8.823226829268305e-05,164,0.00023798302682926831,3.2274282664056893,2.6972334661037367,1.3403214446137073e-51,2.924337697338998e-50
PWY-6317: galactose degradation I (Leloir pathway),5,6.915974e-05,403,0.00021688480935483863,1.368850362713896,3.1359980438740607,0.0008880817558187874,0.02360627686199931,164,7.700709634146336e-05,164,0.0001862565725609757,3.1795151332293345,2.4186936192877657,1.3403214446137073e-51,2.924337697338998e-50
PWY0-1319: CDP-diacylglycerol biosynthesis II,5,0.00014874339999999998,403,0.0003324851977667491,1.5187406523729883,2.235293786257065,0.001025033198286653,0.02360627686199931,164,0.00021009234146341518,164,0.00032038364024390237,1.967800303379058,1.524965822229617,1.593928387882532e-51,3.187856775765064e-50
PWY-5667: CDP-diacylglycerol biosynthesis I,5,0.00014874339999999998,403,0.00033169434354838684,1.4994922228966545,2.2299768833332227,0.0010819543561749684,0.02360627686199931,164,0.00021009234146341518,164,0.00032038364024390237,1.967800303379058,1.524965822229617,1.593928387882532e-51,3.187856775765064e-50
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),5,0.00013521079999999998,403,0.0002622912377320098,0.9968208872980697,1.939868987773239,0.006935489606001795,0.034677448030008974,164,0.00016107392682926855,164,0.00029058239024390236,2.1731745408112606,1.8040312045779279,1.6673500961816738e-51,3.2013121846688136e-50
HSERMETANA-PWY: L-methionine biosynthesis III,5,8.061291999999999e-05,403,0.00011259357906203472,0.23039078538692004,1.3967187773626701,0.8948979645171287,0.9358410086453632,164,0.00013974815853658542,164,2.3088437676829268e-05,3.7138811124625213,0.16521461118777334,2.0115932245839296e-51,3.713710568462639e-50
GALACTARDEG-PWY: D-galactarate degradation I,5,0.00011407096,403,0.0002346001297568238,0.6954742123683173,2.0566157219753722,0.10037113775609163,0.18388605390429003,164,7.903275487804869e-05,164,0.0003615982250000001,2.8757970855551007,4.575295718312786,3.0916546035301043e-51,4.787078095788548e-50
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,5,0.00011407096,403,0.0002346001297568238,0.6954742123683173,2.0566157219753722,0.10037113775609163,0.18388605390429003,164,7.903275487804869e-05,164,0.0003615982250000001,2.8757970855551007,4.575295718312786,3.0916546035301043e-51,4.787078095788548e-50
