,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis,16,0.2753425,16,0.31174062499999994,0.0962710482338271,1.1321921788318183,0.9849513913567718,1.0,21,0.11699333333333332,21,0.4396619047619047,0.9939490257840043,3.758008189314816,0.00022503034483083376,0.016059515468184286
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_showae,16,0.227036875,16,0.02097875,0.6262162158488139,0.09240239058082525,0.22796036760212512,0.5168411782703354,21,0.2642609523809524,21,0.007455238095238094,0.7390995002084689,0.028211652262914718,0.00026586446184302643,0.016059515468184286
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_sp_OMZ_838,16,0.011704375000000001,16,0.0,0.4117764250418635,0.0,0.0185149253682742,0.15216954287050358,21,0.017890476190476193,21,0.0,0.5267347985329202,0.0,0.00042702647857168727,0.016059515468184286
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca,16,0.409715,16,0.038754375,0.5799002327667377,0.0945886164773074,0.0006435939380686971,0.04825210274891189,21,0.08185190476190476,21,0.0,0.9934838803305064,0.0,0.00042743957519882124,0.016059515468184286
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_sputigena,16,0.18161125,16,0.22548062500000002,0.0629124847037913,1.2415564839733222,0.6725703526419093,0.8423142987848674,21,0.6250257142857142,21,0.003083809523809524,1.3304618635896794,0.004933892243671499,8.668329709823138e-05,0.016059515468184286
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_maltophilum,16,0.0095125,16,0.009619375,0.003217806663921293,1.0112352168199736,0.6281674133333914,0.8098432828758919,21,0.03069809523809524,21,0.0,1.248699200859617,0.0,0.00039802042560092653,0.016059515468184286
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_HMSC034E03,16,0.06839437500000001,16,0.10565125,0.1389984059935001,1.5447359523352613,0.2125815026352772,0.499186921366767,21,0.21988380952380948,21,0.015165714285714286,1.210409612475171,0.06897149143703603,0.0002154960155023529,0.016059515468184286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,16,0.163873125,16,0.06851125,0.4754513748486259,0.41807495890494545,0.15434765033990652,0.42270865154164555,21,0.295377619047619,21,0.04166952380952381,1.194587023809533,0.1410720417609098,0.0006045626484941323,0.0198749970692446
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus,16,0.037409375,16,0.027963125000000002,0.09835752709292364,0.7474897669367638,0.6862710154077881,0.8468104080043455,21,0.09054285714285715,21,0.011408095238095236,0.7936402052028457,0.12599663405911432,0.0007332446781025414,0.021427038926774264
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,16,0.2684625,16,4.37970375,0.8036181986753085,16.31402430507054,0.0012451744298060874,0.04825210274891189,21,0.5687252380952381,21,6.8042219047619055,0.985464649613747,11.9639879664044,0.0018792889883294578,0.024131318945065542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_pittii,16,0.00518,16,0.01837375,0.2443531439064841,3.547055984555985,1.0,1.0,21,0.03157333333333333,21,0.0,1.0826639239215334,0.0,0.002018589417457954,0.024131318945065542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_lylae,16,0.0020375,16,0.0,0.3535533905932738,0.0,0.34850142376108484,0.5423424523619249,21,0.012419047619047618,21,0.0,1.0826639239215337,0.0,0.002018589417457954,0.024131318945065542
