	PC0	PC1	PC2	Group	distance	weights
ES_001	-0.14372140530177885	-0.0003337283328314891	-7.489562668242321e-06	1	0.7421504252373845	0.0
ES_007	-0.14117587841244106	-2.5136047030989886e-05	-2.0918275659959945e-05	1	0.7145321704162054	1.0
ES_010	-0.12368628218016926	-0.0008424023212650223	3.1210181793438946e-05	1	0.6927553299302419	1.0
ES_014	-0.08009609798556412	-0.003194570293143291	0.0001222689180829904	1	0.7646914569429516	0.0
ES_017	-0.11010358416488174	-0.0008461781274464275	1.6276766141788193e-05	1	0.6874030254114515	1.0
ES_019	-0.05843020061937966	-0.0030310154364859084	0.00010221397202809502	1	0.7251957916980952	1.0
ES_024	0.030938744534232437	-0.0019587576172038716	0.00012181908643450855	1	0.23118298129904413	0.0
ES_043	-0.0466601559137327	-0.0017157863506923404	5.878348929542965e-05	1	0.5566572620865071	1.0
ES_046	-0.13985682985802383	0.000999531754048164	-8.306356038440018e-05	1	0.6721541591128629	1.0
ES_048	-0.1134644725448355	0.0016544072879167856	-0.00017475417039877354	1	0.6840615731102038	1.0
ES_069	-0.15390562818073986	0.0006687669766289881	-4.674879147799603e-05	0	0.6895146795405158	3.7777777777777772
ES_080	0.12005196937382544	0.002750320137052428	-0.0004191109378671715	1	0.3367000791588335	1.0
ES_088	-0.14159322651374032	0.00023822965359197125	-3.918783730434965e-06	0	0.6345894952961737	0.44444444444444436
ES_089	-0.1726388130042594	0.0022825620707956204	-0.00011019000309485217	0	0.6017732471444697	0.22222222222222218
ES_095	-0.1692255281253862	0.003460992385346122	-0.00014995407757176089	0	0.46193106361712877	0.0
ES_099	-0.08793696199708503	-0.0006719233688856735	0.00014657556655352696	0	0.28654031684267917	0.0
ES_104	0.13682191850895212	0.003569065644850759	0.0004965222592728897	0	2.687482634650195e-05	0.0
ES_106	0.26963234477176473	0.0005332764921242492	2.1329198037502025e-05	0	0.005415156922754669	0.0
ES_107	0.35064594969179136	-0.0029956215275561346	-0.00040150843828606414	0	0.6528243608026453	1.111111111111111
ES_108	-0.0966722989421356	-0.002800178552164585	0.00011256619907686641	1	0.7652685560151082	0.0
ES_110	0.3098452512046633	0.0010183804681810687	0.0005164311212520555	0	1.7200415154149496e-05	0.0
ES_114	0.3191735345132402	0.00027219620255573775	-0.0004950960746104447	0	0.36034202383664954	0.6666666666666665
ES_116	0.3137978494284967	9.05761237648756e-05	-0.0005371337582688503	1	0.5122229829983034	1.0
ES_132	-0.1330015741685721	0.0009739860060117233	-9.984277866929312e-05	1	0.693051745281036	1.0
ES_137	-0.04523869435640999	-0.00013753441642424356	-7.273716810196628e-05	1	0.5695119160262548	1.0
ES_147	-0.14142940749286745	0.001683291777801176	-0.00013366434623239047	1	0.669527222686826	1.0
ES_158	0.28945155816191365	-0.00028057904776227735	0.0005921003721060858	0	2.9056389121113604e-05	0.0
ES_207	-0.11823810837988628	-0.0009549972220697839	6.531354851393607e-05	0	0.6212921937241664	0.0
ES_208	0.12583169461675944	0.004036077881148421	0.0003503648892706944	0	9.0653943803452e-05	0.0
ES_209	0.04459360491829198	-0.0038104385105191887	9.636611293156024e-05	0	0.5759727736556663	0.5555555555555555
ES_210	0.015953180218679596	-6.027327915016449e-05	-0.00013783669006102092	0	0.5181768256371362	0.6666666666666665
ES_211	-0.10966245180072012	-0.0005725404111855175	4.382573629224536e-05	0	0.5743974002239124	0.5555555555555555
