	V1	V2	V3
WBE003	WBS018	WBS019	WBU002
WBE004	WBS014	WBE018	WBU013
WBE009	WBS013	WBU019	WBU020
WBE010	WBS015	WBE042	WBS021
WBE011	WBS013	WBU019	WBU020
WBE012	WBU019	WBS013	WBS021
WBE013	WBU019	WBS013	WBS021
WBE014	WBU004	WBU012	WBE020
WBE015	WBS012	WBS022	WBS020
WBE016	WBU001	WBS020	WBS022
WBE021	WBE005	NA_character_	NA_character_
WBE022	WBU020	WBE005	WBS013
WBE023	WBS014	WBE018	WBU013
WBE024	WBS016	WBE017	WBU001
WBE026	WBU020	WBS013	WBU019
WBE027	NA_character_	NA_character_	NA_character_
WBE028	WBU015	WBE008	WBE007
WBE029	WBS021	WBE042	WBS015
WBE030	NA_character_	NA_character_	NA_character_
WBE031	WBU013	WBS017	WBS014
WBE032	WBS021	WBE042	WBS015
WBE033	WBE005	NA_character_	NA_character_
WBE034	WBU012	WBE020	WBU011
WBE035	WBS013	WBU019	WBU020
WBE036	WBU004	WBU012	WBE020
WBE037	WBS013	WBU019	WBU020
WBE038	WBS021	WBE042	WBS015
WBE039	NA_character_	NA_character_	NA_character_
WBE040	WBS015	WBE042	WBS021
WBE041	WBU007	WBU011	WBS016
WBE044	WBE005	WBU020	NA_character_
WBE045	WBU003	NA_character_	NA_character_
WBE046	WBE005	NA_character_	NA_character_
WBE047	WBU003	NA_character_	NA_character_
WBE048	WBU004	WBU012	WBE020
WBE049	WBU007	WBU011	WBS016
WBU005	WBU020	WBE005	WBS013
WBU006	WBU007	WBU011	WBE020
